net,length_um
u_fifo.mem\[6\]\[6\],15.48µm
u_fifo.mem\[8\]\[0\],15.3µm
_0522_,15.26µm
_0654_,15.02µm
u_fifo.mem\[8\]\[2\],14.94µm
_0323_,14.92µm
_0730_,14.79µm
_0585_,14.68µm
u_uart.clk_count\[10\],14.6µm
u_fifo.mem\[4\]\[1\],14.545µm
_0336_,14.54µm
_0511_,14.46µm
_0726_,14.46µm
_0403_,14.42µm
u_packet_assembler.timer\[6\],14.375µm
u_fifo.mem\[5\]\[6\],14.36µm
_0608_,14.34µm
_0665_,14.3µm
u_max30102_ctrl.clk_div\[3\],14.26µm
u_fifo.mem\[1\]\[2\],14.22µm
_0612_,14.18µm
u_fifo.mem\[6\]\[2\],14.1µm
u_fifo.mem\[15\]\[5\],14.08µm
_0370_,14.06µm
u_uart.state\[1\],14.06µm
_0692_,14.04µm
i2c_sda,14.04µm
u_fifo.mem\[7\]\[3\],14µm
_0378_,13.9µm
u_fifo.mem\[14\]\[2\],13.9µm
u_uart.clk_count\[12\],13.9µm
_0420_,13.88µm
u_fifo.mem\[12\]\[3\],13.88µm
net96,13.86µm
u_fifo.mem\[11\]\[6\],13.845µm
u_max30102_ctrl.clk_div\[15\],13.84µm
_0557_,13.8µm
_0413_,13.76µm
u_fifo.mem\[6\]\[1\],13.72µm
_0350_,13.62µm
_0254_,13.56µm
_0631_,13.56µm
u_fifo.mem\[7\]\[1\],13.52µm
_0061_,13.5µm
u_fifo.mem\[9\]\[5\],13.48µm
_0450_,13.46µm
u_fifo.mem\[5\]\[1\],13.42µm
_0637_,13.4µm
u_fifo.mem\[8\]\[6\],13.4µm
_0483_,13.38µm
_0095_,13.34µm
u_srf_ctrl.echo_counter\[3\],13.32µm
u_fifo.mem\[9\]\[3\],13.265µm
u_fifo.mem\[5\]\[0\],13.26µm
_0521_,13.18µm
u_pmu.user_detected,13.12µm
_0607_,13.1µm
distance_out\[2\],13.1µm
u_fifo.mem\[1\]\[1\],13.08µm
_0643_,13.06µm
u_uart.clk_count\[0\],13.02µm
u_fifo.mem\[8\]\[4\],12.98µm
